url,name,tdp,mtp,pbp,AMD Configurable TDP (cTDP),GPU Base
https://ark.intel.com//content/www/us/en/ark/products/134903/intel-core-i98950hk-processor-12m-cache-up-to-4-80-ghz.html,intel core i98950hk processor 12m ,45.0,,,,
https://ark.intel.com//content/www/us/en/ark/products/226066/intel-core-i712650h-processor-24m-cache-up-to-4-70-ghz.html,intel core i712650h processor 24m ,,115.0,45.0,,
https://ark.intel.com//content/www/us/en/ark/products/134591/intel-core-i712700-processor-25m-cache-up-to-4-90-ghz.html,intel core i712700 processor 25m ,,180.0,65.0,,
https://ark.intel.com//content/www/us/en/ark/products/132219/intel-core-i712700e-processor-25m-cache-up-to-4-80-ghz.html,intel core i712700e processor 25m ,,,65.0,,
https://ark.intel.com//content/www/us/en/ark/products/134592/intel-core-i712700f-processor-25m-cache-up-to-4-90-ghz.html,intel core i712700f processor 25m ,,180.0,65.0,,
https://ark.intel.com//content/www/us/en/ark/products/132228/intel-core-i712700h-processor-24m-cache-up-to-4-70-ghz.html,intel core i712700h processor 24m ,,115.0,45.0,,
https://ark.intel.com//content/www/us/en/ark/products/134596/intel-core-i712700t-processor-25m-cache-up-to-4-70-ghz.html,intel core i712700t processor 25m ,,99.0,35.0,,
https://ark.intel.com//content/www/us/en/ark/products/132216/intel-core-i712700te-processor-25m-cache-up-to-4-60-ghz.html,intel core i712700te processor 25m ,,,35.0,,
https://ark.intel.com//content/www/us/en/ark/products/226059/intel-core-i712800h-processor-24m-cache-up-to-4-80-ghz.html,intel core i712800h processor 24m ,,115.0,45.0,,
https://ark.intel.com//content/www/us/en/ark/products/226055/intel-core-i712800he-processor-24m-cache-up-to-4-60-ghz.html,intel core i712800he processor 24m ,,115.0,45.0,,
https://ark.intel.com//content/www/us/en/ark/products/134594/intel-core-i712700k-processor-25m-cache-up-to-5-00-ghz.html,intel core i712700k processor 25m ,,190.0,125.0,,
https://ark.intel.com//content/www/us/en/ark/products/134595/intel-core-i712700kf-processor-25m-cache-up-to-5-00-ghz.html,intel core i712700kf processor 25m ,,190.0,125.0,,
https://ark.intel.com//content/www/us/en/ark/products/217379/intel-core-i711850he-processor-24m-cache-up-to-4-70-ghz.html,intel core i711850he processor 24m ,,,,,
https://ark.intel.com//content/www/us/en/ark/products/213802/intel-core-i711600h-processor-18m-cache-up-to-4-60-ghz.html,intel core i711600h processor 18m ,,,,,
https://ark.intel.com//content/www/us/en/ark/products/217182/intel-core-i711390h-processor-12m-cache-up-to-5-00-ghz-with-ipu.html,intel core i711390h processor 12m ,,,,,
https://ark.intel.com//content/www/us/en/ark/products/217187/intel-core-i71195g7-processor-12m-cache-up-to-5-00-ghz.html,intel core i71195g7 processor 12m ,,,,,
https://ark.intel.com//content/www/us/en/ark/products/217181/intel-core-i71195g7-processor-12m-cache-up-to-5-00-ghz-with-ipu.html,intel core i71195g7 processor 12m ,,,,,
https://ark.intel.com//content/www/us/en/ark/products/213803/intel-core-i711800h-processor-24m-cache-up-to-4-60-ghz.html,intel core i711800h processor 24m ,,,,,
https://ark.intel.com//content/www/us/en/ark/products/213799/intel-core-i711850h-processor-24m-cache-up-to-4-80-ghz.html,intel core i711850h processor 24m ,,,,,
https://ark.intel.com//content/www/us/en/ark/products/212279/intel-core-i711700-processor-16m-cache-up-to-4-90-ghz.html,intel core i711700 processor 16m ,65.0,,,,
https://ark.intel.com//content/www/us/en/ark/products/212280/intel-core-i711700f-processor-16m-cache-up-to-4-90-ghz.html,intel core i711700f processor 16m ,65.0,,,,
https://ark.intel.com//content/www/us/en/ark/products/212047/intel-core-i711700k-processor-16m-cache-up-to-5-00-ghz.html,intel core i711700k processor 16m ,125.0,,,,
https://ark.intel.com//content/www/us/en/ark/products/212048/intel-core-i711700kf-processor-16m-cache-up-to-5-00-ghz.html,intel core i711700kf processor 16m ,125.0,,,,
https://ark.intel.com//content/www/us/en/ark/products/212251/intel-core-i711700t-processor-16m-cache-up-to-4-60-ghz.html,intel core i711700t processor 16m ,35.0,,,,
https://ark.intel.com//content/www/us/en/ark/products/196655/intel-core-i711370h-processor-12m-cache-up-to-4-80-ghz-with-ipu.html,intel core i711370h processor 12m ,,,,,
https://ark.intel.com//content/www/us/en/ark/products/197384/intel-core-i711375h-processor-12m-cache-up-to-5-00-ghz-with-ipu.html,intel core i711375h processor 12m ,,,,,
https://ark.intel.com//content/www/us/en/ark/products/208663/intel-core-i71180g7-processor-12m-cache-up-to-4-60-ghz-with-ipu.html,intel core i71180g7 processor 12m ,,,,,
https://ark.intel.com//content/www/us/en/ark/products/208076/intel-core-i71185g7e-processor-12m-cache-up-to-4-40-ghz.html,intel core i71185g7e processor 12m ,15.0,,,,
