,Model,Default TDP,AMD Configurable TDP (cTDP),GPU Base
446,A6-8500P with Radeon™ R5 Graphics,,,
447,A6-7310 with Radeon™ R4 Graphics,,,
448,880K with Near Silent Thermal Solution,95.0,,
449,A4-7210 with Radeon™ R3 Graphics,65.0,,
450,870K with Near Silent Thermal Solution,95.0,,
451,860K,95.0,,
452,A10-6800B with Radeon™ HD 8670D,45.0,,
453,A10-6790B with Radeon™ HD 8670D,45.0,,
454,860K with Near Silent Thermal Solution,95.0,,
455,845 with Near Silent Thermal Solution,,,
456,A8-6500B with Radeon™ HD 8570D,65.0,,
457,760K,100.0,,
458,750,65.0,,
459,A6-6420B with Radeon™ HD 8470D,65.0,,
460,750K,100.0,,
461,740,65.0,,
462,A6-6400B with Radeon™ HD 8470D,65.0,,
463,2800+,45.0,,
464,X1150,17.0,,
465,6386 SE,140.0,,
466,6380,115.0,,
467,A10 PRO-7850B with Radeon™ R7 Graphics,95.0,,
468,6378,115.0,,
469,6376,115.0,,
470,A10 PRO-7800B with Radeon™ R7 Graphics,65.0,35W/65WW,
471,6370P,99.0,,
472,A8 PRO-7600B with Radeon™ R7 Graphics,65.0,35W/65WW,
473,A6 PRO-7400B with Radeon™ R5 Graphics,65.0,35W/65WW,
474,6366 HE,85.0,,
475,A4 PRO-7350B with Radeon™ R5 Graphics,65.0,35W/65WW,
476,6348,115.0,,
477,A4 PRO-7300B with Radeon™ HD 8470D,65.0,,
478,6344,115.0,,
479,A10 PRO-7350B with Radeon™ R6 Graphics,19.0,,
480,6338P,99.0,,
481,6328,115.0,,
482,A8 PRO-7150B with Radeon™ R5 Graphics,100.0,,
483,6320,115.0,,
484,A6 PRO-7050B with Radeon™ R4 Graphics,100.0,,
485,6308,115.0,,
486,A4 PRO-3350B with Radeon™ R4 Graphics,15.0,,
487,6284 SE,140.0,,
488,A4 PRO-3340B with Radeon™ HD 8240 Graphics,25.0,,
489,6282 SE,140.0,,
490,FX-7600P with Radeon™ R7 Graphics,35.0,,
491,AMD Athlon™ 3000G,35.0,,
492,FX-7500 with Radeon™ R7 Graphics,20.0,,
493,AMD Athlon™ 240GE,35.0,,
494,6278,115.0,,
495,6276,115.0,,
496,AMD Athlon™ 220GE,35.0,,
497,FX-8800P with Radeon™ R7 Graphics,,,
498,AMD Athlon™ 200GE,35.0,,
499,6274,115.0,,
500,Athlon™ 5370 APU with Radeon™ R3 Series,25.0,,
501,Athlon™ 5350 APU with Radeon™ R3 Series,25.0,,
502,6272,115.0,,
503,AMD Athlon™ PRO 200U Mobile Processor with Radeon™ Vega 3 Graphics,15.0,12-25W,
504,6262 HE,85.0,,
505,Athlon™ 5150 APU with Radeon™ R3 Series,25.0,,
506,AMD Athlon™ PRO 200GE,35.0,,
507,6238,115.0,,
